Date,CO2,Temp
2006.6219,380.44,16.18244
2006.7068,378.77,15.494354
2006.789,379.03,14.58424
2006.874,380.11,13.471448
2006.9562,381.63,12.8606825
2007.0411,382.55,12.805134
2007.126,383.68,12.817436
2007.2027,384.31,13.409753
2007.2877,386.19,14.535259
2007.3699,386.38,15.345395
2007.4548,385.85,15.9590225
2007.537,384.41,16.235226
2007.6219,381.81,16.092758
2007.7068,380.83,15.356439
2007.789,380.83,14.432252
2007.874,382.32,13.331651
2007.9562,383.58,12.576152
2008.041,385.04,12.113865
2008.1257,385.81,12.408693
2008.2049,385.8,13.427832
2008.2896,386.74,14.234885
2008.3716,388.48,15.156336
2008.4563,388.02,15.784431
2008.5383,386.22,16.205437
2008.623,384.05,16.032465
2008.7077,383.05,15.416166
2008.7896,382.75,14.483415
2008.8743,383.98,13.421849
2008.9563,385.08,12.621473
2009.0411,386.63,12.501626
2009.126,387.1,12.694721
2009.2027,388.5,13.287885
2009.2877,389.54,14.301492
2009.3699,390.15,15.257493
2009.4548,389.6,15.987216
2009.537,388.05,16.366562
2009.6219,386.06,16.156666
2009.7068,384.64,15.549981
2009.789,384.32,14.526278
2009.874,386.05,13.511266
2009.9562,387.48,12.7335
2010.0411,388.55,12.6356325
2010.126,390.08,12.951654
2010.2027,391.02,13.678044
2010.2877,392.39,14.613985
2010.3699,393.24,15.459884
2010.4548,392.26,16.069368
2010.537,390.35,16.280825
2010.6219,388.53,16.157595
2010.7068,386.85,15.545297
2010.789,387.18,14.562663
2010.874,388.69,13.504187
2010.9562,389.83,12.563729
2011.0411,391.33,12.351499
2011.126,391.96,12.553501
2011.2027,392.49,13.350491
2011.2877,393.4,14.375194
2011.3699,394.33,15.219789
2011.4548,393.75,16.003246
2011.537,392.64,16.371902
2011.6219,390.25,16.22224
2011.7068,389.05,15.493621
2011.789,388.98,14.475859
2011.874,390.3,13.275795
2011.9562,391.86,12.627414
2012.041,393.13,12.276404
2012.1257,393.42,12.550499
2012.2049,394.43,13.2728615
2012.2896,396.51,14.415891
2012.3716,396.96,15.435046
2012.4563,395.97,16.102255
2012.5383,394.6,16.269142
2012.623,392.61,16.187824
2012.7077,391.2,15.559154
2012.7896,391.09,14.665455
2012.8743,393.03,13.566348
2012.9563,394.42,12.633345
2013.0411,395.69,12.588698
2013.126,396.94,12.74516
2013.2027,397.35,13.43299
2013.2877,398.44,14.32516
2013.3699,400.06,15.282976
2013.4548,398.96,16.09026
2013.537,397.45,16.203823
2013.6219,395.49,16.166069
2013.7068,393.47,15.615945
2013.789,393.77,14.497687
2013.874,395.27,13.520078
2013.9562,396.9,12.79202
2014.0411,398.01,12.568906
2014.126,398.18,12.633697
2014.2027,399.56,13.499714
2014.2877,401.43,14.471099
2014.3699,401.98,15.444883
2014.4548,401.41,16.05494
2014.537,399.17,16.294601
2014.6219,397.3,16.247297
2014.7068,395.49,15.630689
2014.789,395.74,14.609847
2014.874,397.32,13.421572
2014.9562,398.89,12.853583
2015.0411,399.94,12.634445
2015.126,400.4,12.928266
2015.2027,401.6,13.637717
2015.2877,403.52,14.418048
2015.3699,404.04,15.438125
2015.4548,402.81,16.169054
2015.537,401.53,16.382523
2015.6219,398.93,16.353544
2015.7068,397.43,15.713113
2015.789,398.22,14.887541
2015.874,400.17,13.7562475
2015.9562,401.82,13.204579
2016.041,402.57,12.992974
2016.1257,404.1,13.417186
2016.2049,404.79,14.034868
2016.2896,407.48,14.891109
2016.3716,407.6,15.676825
2016.4563,406.94,16.244
2016.5383,404.43,16.589361
2016.623,402.16,16.512535
2016.7077,400.94,15.803998
2016.7896,401.43,14.787861
2016.8743,403.57,13.775181
2016.9563,404.49,13.000666
2017.0411,406,12.845391
2017.126,406.57,13.228915
2017.2027,406.99,13.908651
2017.2877,408.88,14.689784
2017.3699,409.84,15.634073
2017.4548,409.04,16.18471
2017.537,407.14,16.494432
2017.6219,405.19,16.407225
2017.7068,403.2,15.725799
2017.789,403.56,14.805654
2017.874,405.1,13.618324
2017.9562,406.68,13.037039
2018.0411,407.98,12.682602
2018.126,408.35,12.992014
2018.2027,409.21,13.6822195
2018.2877,410.23,14.666684
2018.3699,411.23,15.513348
2018.4548,410.81,16.207808
2018.537,408.83,16.507156
2018.6219,407.02,16.319727
2018.7068,405.53,15.645674
2018.789,405.93,14.800872
2018.874,408.05,13.60859
2018.9562,409.16,12.996139
2019.0411,410.85,12.72624
2019.126,411.58,13.037775
2019.2027,411.9,13.917174
2019.2877,413.46,14.798781
2019.3699,414.75,15.618282
2019.4548,413.89,16.351408
2019.537,411.79,16.6257
2019.6219,410.02,16.46732
2019.7068,408.48,15.824985
2019.789,408.4,14.899434
2019.874,410.16,13.775269
2019.9562,411.81,13.2046385
2020.041,413.32,13.023079
2020.1257,414.04,13.328517
2020.2049,414.44,13.896629
2020.2896,416.11,14.88185
2020.3716,417.16,15.727451
2020.4563,416.29,16.342968
2020.5383,414.42,16.554092
2020.623,412.52,16.37801
2020.7077,411.17,15.879755
2020.7896,411.12,14.822222
2020.8743,412.89,13.90748
2020.9563,413.88,12.900175
2021.0411,415.15,12.685115
2021.126,416.47,12.789588
2021.2027,417.1,13.59851
2021.2877,418.26,14.552132
2021.3699,418.95,15.518911
2021.4548,418.7,16.19531
2021.537,416.66,16.559628
2021.6219,414.38,16.422337
2021.7068,412.93,15.84764
2021.789,413.52,14.867596
2021.874,414.81,13.716378
2021.9562,416.43,12.987412
2022.0411,418.01,12.719163
2022.126,418.99,12.959104
2022.2027,418.45,13.802971
2022.2877,420.01,14.644848
2022.3699,420.78,15.517336
2022.4548,420.68,16.290714
2022.537,418.71,16.606197
2022.6219,416.75,16.406933
2022.7068,415.42,15.795641
2022.789,415.31,14.855216
2022.874,417.03,13.532543
2022.9562,418.48,12.9359
2023.0411,419.23,12.688446
2023.126,420.33,13.022
2023.2027,420.51,13.920512
2023.2877,422.73,14.682128
2023.3699,423.78,15.656851
2023.4548,423.39,16.513966
2023.537,421.62,16.953054
2023.6219,419.56,16.82079
2023.7068,418.06,16.37684
2023.789,418.4,15.296082
2023.874,420.12,14.224168
2023.9562,421.65,13.510168
2024.041,422.62,13.140049
2024.1257,424.35,13.539654
2024.2049,425.22,14.137005
